1;2
2;2.828427124746190290949243717477656900882720947265625
3;3.0614674589207186983230712939985096454620361328125
4;3.1214451522580528575190328410826623439788818359375
5;3.136548490545939760210103486315347254276275634765625
6;3.140331156954753399901392185711301863193511962890625
7;3.141277250932773323910396356950514018535614013671875
8;3.141513801144301343271081350394524633884429931640625
9;3.14157294036709178186583812930621206760406494140625
10;3.141587725277160014769606277695856988430023193359375
11;3.14159142151120018837673342204652726650238037109375
12;3.141592345570118016695460028131492435932159423828125
13;3.141592576584872897882405595737509429454803466796875
14;3.1415926343385631724913764628581702709197998046875
15;3.141592648776985630121316717122681438922882080078125
16;3.14159265238659113350649931817315518856048583984375
17;3.14159265328899284241970235598273575305938720703125
18;3.141592653514593269648003115435130894184112548828125
19;3.141592653570993487477380767813883721828460693359375
20;3.14159265358509376397933010593988001346588134765625
21;3.1415926535886189441271199029870331287384033203125
22;3.141592653589500461208672277280129492282867431640625
23;3.14159265358972117354596775840036571025848388671875
24;3.14159265358977624060798916616477072238922119140625
25;3.141592653589790007373494518105871975421905517578125
26;3.141592653589793560087173318606801331043243408203125
27;3.141592653589794448265593018732033669948577880859375
28;3.1415926535897948923548028687946498394012451171875
29;3.1415926535897948923548028687946498394012451171875
30;3.1415926535897948923548028687946498394012451171875
